site,lat,long,y.tissue,sd.y.tissue
A,46.19747,18.871014,-71.8,1
A,46.19747,18.871014,-103.4,1
A,46.19747,18.871014,-68.9,1
A,46.19747,18.871014,-103.3,1
B,48.511164,19.08498,-92.3,1
B,48.511164,19.08498,-102,1
B,48.511164,19.08498,-105.3,1
C,53.483253,10.614134,-93.4,1
C,53.483253,10.614134,-95.9,1
C,53.483253,10.614134,-93.2,1
C,53.483253,10.614134,-93.2,1
C,53.483253,10.614134,-92.9,1
C,53.483253,10.614134,-99.8,1
C,53.483253,10.614134,-89.1,1
C,53.483253,10.614134,-112.9,1
C,53.483253,10.614134,-99.6,1
C,53.483253,10.614134,-102.4,1
D,47.902535,20.37728,-105.2,1
D,47.902535,20.37728,-97.9,1
D,47.902535,20.37728,-97.1,1
D,47.902535,20.37728,-96,1
D,47.902535,20.37728,-88.3,1
D,47.902535,20.37728,-94.2,1
D,47.902535,20.37728,-84.3,1
E,52.934654,20.615249,-112.5,1
E,52.934654,20.615249,-109.7,1
E,52.934654,20.615249,-103.3,1
E,52.934654,20.615249,-116.2,1
E,52.934654,20.615249,-107.1,1
E,52.934654,20.615249,-119.7,1
F,46.347433,18.706229,-96.7,1
F,46.347433,18.706229,-71.9,1
F,46.347433,18.706229,-106.6,1
F,46.347433,18.706229,-105.5,1
F,46.347433,18.706229,-105,1
F,46.347433,18.706229,-84.3,1
F,46.347433,18.706229,-87.9,1
F,46.347433,18.706229,-91,1
F,46.347433,18.706229,-73.6,1
