Month,O18,DEU,precip
Jun-1990,-9.60,-69.2,59.8
Jul-1990,-13.20,-87.0,75.9
Aug-1990,-10.00,-84.8,6.3
Sep-1990,-15.50,-127.9,6.6
Oct-1990,-16.90,-127.7,5.8
Nov-1990,-20.60,-153.4,21.2
Dec-1990,-30.40,-236.3,12.8
Jan-1991,-26.50,-212.1,5.4
Feb-1991,-23.20,-179.0,14.8
Mar-1991,-19.50,-134.6,10.6
Apr-1991,-13.30,-94.3,69.2
May-1991,-10.70,-106.7,72.4
Jun-1991,-9.60,-67.8,136.0
Jul-1991,-12.10,-90.0,49.2
Aug-1991,-8.40,-82.0,14.0
Sep-1991,-16.10,-123.0,16.8
Oct-1991,-20.40,-152.0,56.8
Nov-1991,-24.00,-182.0,18.0
Dec-1991,-25.00,-192.1,13.4
Jan-1992,-22.20,-171.0,17.6
Feb-1992,-25.50,-193.0,10.4
Mar-1992,-18.90,-148.7,3.6
Apr-1992,-18.00,-134.2,12.1
May-1992,-14.50,-111.4,46.6
Jun-1992,-18.20,-144.4,14.6
Jul-1992,-14.90,-118.3,66.2
Aug-1992,-17.40,-133.3,47.4
Sep-1992,-17.90,-136.5,47.3
Oct-1992,-15.30,-112.0,21.9
Nov-1992,NA,NA,NA
Dec-1992,NA,NA,NA
Jan-1993,NA,NA,NA
Feb-1993,NA,NA,NA
Mar-1993,NA,NA,NA
Apr-1993,NA,NA,NA
May-1993,NA,NA,NA
Jun-1993,NA,NA,NA
Jul-1993,NA,NA,NA
Aug-1993,-10.80,-82.5,64.3
Sep-1993,-19.60,-151.3,43.5
Oct-1993,-23.50,-179.7,0.5
Nov-1993,-20.40,-160.1,19.5
Dec-1993,-20.90,-166.0,8.9
Jan-1994,-22.20,-178.8,24.9
Feb-1994,-25.10,-202.8,10.8
Mar-1994,-17.44,-128.2,2.8
Apr-1994,-7.60,-65.4,8.4
May-1994,-10.40,-81.1,115.7
Jun-1994,-13.80,-109.0,54.3
Jul-1994,-10.00,-105.3,41.7
Aug-1994,-13.30,-106.6,64.1
Sep-1994,-16.47,-122.4,0.8
Oct-1994,-14.80,-113.0,18.8
Nov-1994,-22.20,-172.0,12.6
Dec-1994,-20.50,-157.0,10.0
Jan-1995,-17.90,-152.0,11.8
Feb-1995,-18.50,-156.0,12.9
Mar-1995,-14.30,-107.0,30.0
Apr-1995,-15.10,-119.0,33.7
May-1995,-13.41,-109.7,14.9
Jun-1995,-13.37,-102.7,32.6
Jul-1995,-10.70,-102.0,81.4
Aug-1995,-14.60,-111.0,84.6
Sep-1995,-16.47,-122.4,0.6
Oct-1995,-19.30,-151.0,34.7
Nov-1995,-19.50,-161.0,16.0
Dec-1995,-24.33,-185.6,22.0
Jan-1996,-27.79,-227.9,14.0
